Date,Open,High,Low,Close,Adj Close,Volume
2013-02-13,27.370001,28.16,29.05,27.1,27.1,93498700
2013-02-14,27.91,28.32,28.65,27.309999,27.309999,50164000
2013-02-15,28.5,28.629999,28.55,28.01,28.01,35615800
2013-02-19,28.32,28.75,28.26,28.09,28.09,33109300
2013-02-20,28.93,29.08,27.37,28.120001,28.120001,49396400
2013-02-21,28.459999,29.049999,27.91,28.33,28.33,42098200
2013-02-22,27.280001,28.549999,28.5,27.15,27.15,49642300
2013-02-25,27.129999,27.629999,28.32,26.82,26.82,36350200
2013-02-26,27.27,27.639999,28.93,27.15,27.15,34652000
2013-02-27,27.389999,27.459999,28.46,26.700001,26.700001,31611700
2013-02-28,26.870001,27.34,27.28,26.629999,26.629999,44319700
2013-03-01,27.25,27.299999,27.13,26.34,26.34,83027800
2013-03-04,27.780001,28.120001,27.27,26.809999,26.809999,54064800
2013-03-05,27.719999,28.059999,27.39,27.440001,27.440001,32400700
2013-03-06,27.52,28.18,26.87,27.209999,27.209999,40622200
2013-03-07,27.450001,28.129999,27.25,27.35,27.35,33532600
2013-03-08,28.58,28.68,27.78,27.469999,27.469999,74540200
2013-03-11,27.959999,28.469999,27.72,27.73,27.73,44198900
2013-03-12,28.139999,28.639999,27.52,27.83,27.83,35642100
2013-03-13,27.83,28.32,27.45,27.6,27.6,27569600
2013-03-14,27.08,27.65,28.58,26.92,26.92,39619500
2013-03-15,27.040001,27.43,27.96,26.83,26.83,27646400
2013-03-18,26.65,27.059999,28.14,26.559999,26.559999,31597400
2013-03-19,26.49,26.790001,27.83,25.780001,25.780001,26653700
2013-03-20,26.549999,26.9,27.08,26.209999,26.209999,25254200
2013-03-21,25.860001,26.690001,27.04,25.780001,25.780001,44006500
2013-03-22,25.74,26.110001,26.65,25.559999,25.559999,24336100
2013-03-25,25.73,26.01,26.49,25.629999,25.629999,18456300
2013-03-26,25.129999,25.799999,26.55,25.08,25.08,39199000
2013-03-27,25.209999,25.48,25.86,25.030001,25.030001,26957200
2013-03-28,26.09,26.280001,25.74,24.719999,24.719999,52297400
2013-04-01,25.58,26.17,25.73,25.52,25.52,28585700
2013-04-02,25.530001,25.889999,25.13,25.280001,25.280001,22249300
2013-04-03,25.42,26.120001,25.21,25.299999,25.299999,35153300
2013-04-04,26.25,26.389999,26.09,25.700001,25.700001,48195200
2013-04-05,27.07,27.23,25.58,26.110001,26.110001,82016800
2013-04-08,27.389999,27.799999,25.53,26.610001,26.610001,64566600
2013-04-09,26.85,27.200001,25.42,26.629999,26.629999,27256000
2013-04-10,26.59,26.889999,26.25,26.42,26.42,21311100
2013-04-11,27.57,27.84,27.07,26.9,26.9,45949400
2013-04-12,28.02,28.1,27.39,27.25,27.25,33368500
2013-04-15,27.4,28.0,26.85,27.24,27.24,28697400
2013-04-16,26.52,27.48,26.59,26.360001,26.360001,30275400
2013-04-17,26.92,27.110001,27.57,26.4,26.4,27365900
2013-04-18,26.629999,27.200001,28.02,26.389999,26.389999,26440600
2013-04-19,25.690001,26.82,27.4,25.15,25.15,39059000
2013-04-22,25.73,25.959999,26.52,25.33,25.33,20380900
2013-04-23,25.969999,26.360001,26.92,25.700001,25.700001,25687600
2013-04-24,25.98,26.33,26.63,25.77,25.77,25191500
2013-04-25,26.110001,26.4,25.69,25.799999,25.799999,19729900
2013-04-26,26.139999,26.4,25.73,26.0,26.0,17150000
2013-04-29,26.85,27.620001,25.97,26.6,26.6,33018000
2013-04-30,26.98,27.41,25.98,26.860001,26.860001,29201100
2013-05-01,27.77,27.85,26.11,27.01,27.01,36245700
2013-05-02,27.43,27.92,26.14,27.309999,27.309999,64567600
2013-05-03,28.969999,29.02,26.85,27.98,27.98,104257000
2013-05-06,28.309999,29.07,26.98,28.15,28.15,58506400
2013-05-07,27.57,28.459999,27.77,27.48,27.48,43939400
2013-05-08,26.889999,27.85,27.43,26.85,26.85,41259100
2013-05-09,27.120001,27.299999,28.97,26.65,26.65,34654900
2013-05-10,27.040001,27.549999,28.31,26.85,26.85,33457200
2013-05-13,26.68,27.299999,27.57,26.57,26.57,30847100
2013-05-14,26.82,27.33,26.89,26.530001,26.530001,29068800
2013-05-15,27.07,27.280001,27.12,26.82,26.82,24930300
2013-05-16,26.6,26.99,27.04,26.4,26.4,30299800
2013-05-17,26.129999,26.549999,26.68,25.9,25.9,35499100
2013-05-20,26.25,26.6,26.82,26.200001,26.200001,29462700
2013-05-21,25.76,26.190001,27.07,25.690001,25.690001,42402900
2013-05-22,25.66,26.08,26.6,25.59,25.59,26261300
2013-05-23,25.16,25.85,26.13,24.92,24.92,45314500
2013-05-24,25.059999,25.530001,26.25,24.77,24.77,37663100
2013-05-28,24.309999,24.969999,25.76,24.08,24.08,58727900
2013-05-29,24.1,24.540001,25.66,23.92,23.92,50079700
2013-05-30,23.32,23.809999,25.16,23.26,23.26,64237800
2013-05-31,24.549999,24.780001,25.06,23.93,23.93,60733200
2013-06-03,24.35,24.950001,24.31,24.27,24.27,35925000
2013-06-04,23.85,24.32,24.1,23.709999,23.709999,35733800
2013-06-05,23.52,23.93,23.32,23.32,23.32,34760800
2013-06-06,22.9,23.709999,24.55,22.790001,22.790001,53819700
2013-06-07,22.969999,23.09,24.35,22.67,22.67,31260700
2013-06-10,23.290001,23.4,23.85,22.860001,22.860001,38699200
2013-06-11,24.33,24.6,23.52,23.99,23.99,58393000
2013-06-12,24.030001,24.35,22.9,24.0,24.0,29885900
2013-06-13,23.77,24.26,22.97,23.58,23.58,26445800
2013-06-14,23.73,23.83,23.29,23.27,23.27,31189300
2013-06-17,23.629999,23.889999,24.33,23.26,23.26,30677100
2013-06-18,24.02,24.25,24.03,23.75,23.75,33664500
2013-06-19,24.209999,24.690001,23.77,24.08,24.08,36709100
2013-06-20,24.309999,25.190001,23.73,24.1,24.1,31790600
2013-06-21,23.9,24.75,23.63,23.65,23.65,42765600
2013-06-24,24.530001,24.700001,24.02,24.049999,24.049999,45833900
2013-06-25,23.940001,24.110001,24.21,23.379999,23.379999,40626000
2013-06-26,24.25,24.43,24.31,24.040001,24.040001,24713200
2013-06-27,24.16,24.65,23.9,23.99,23.99,29890300
2013-06-28,24.66,24.84,24.53,24.209999,24.209999,34694100
2013-07-01,24.879999,24.98,23.94,24.42,24.42,96778900
2013-07-02,24.809999,25.059999,24.25,24.620001,24.620001,20582200
2013-07-03,24.41,24.77,24.16,24.299999,24.299999,18394100
2013-07-05,24.52,24.709999,24.66,24.15,24.15,10404400
2013-07-08,24.370001,24.66,24.88,24.200001,24.200001,20229500
2013-07-09,24.709999,25.040001,24.81,24.42,24.42,27064600
2013-07-10,25.48,25.49,24.41,25.030001,25.030001,30387900
2013-07-11,25.799999,25.83,24.52,25.469999,25.469999,26721800
2013-07-12,25.809999,26.0,24.37,25.450001,25.450001,26777400
2013-07-15,25.91,25.93,24.71,25.549999,25.549999,16537900
2013-07-16,26.280001,26.43,25.48,25.65,25.65,24234000
2013-07-17,26.32,26.75,25.8,26.01,26.01,30817600
2013-07-18,26.65,26.780001,25.81,26.299999,26.299999,21518500
2013-07-19,26.18,26.77,25.91,26.120001,26.120001,24806900
2013-07-22,25.879999,26.110001,26.28,25.6,25.6,46539700
2013-07-23,26.049999,26.129999,26.32,25.719999,25.719999,27526300
2013-07-24,26.129999,26.299999,26.65,25.969999,25.969999,28221600
2013-07-25,26.51,26.530001,26.18,26.049999,26.049999,82635600
2013-07-26,34.360001,34.880001,25.88,32.75,32.75,365457900
2013-07-29,34.009998,34.73,26.05,33.560001,33.560001,136028900
2013-07-30,35.43,35.630001,26.13,34.009998,34.009998,124718800
2013-07-31,37.630001,37.959999,26.51,35.32,35.32,173582800
2013-08-01,36.799999,38.310001,34.36,36.330002,36.330002,154828700
2013-08-02,37.490002,38.290001,34.01,36.919998,36.919998,106066500
2013-08-05,38.049999,38.490002,35.43,37.5,37.5,73058500
2013-08-06,39.189999,39.32,37.63,38.25,38.25,79994800
2013-08-07,38.549999,39.25,36.8,37.939999,37.939999,63950800
2013-08-08,38.869999,38.939999,37.49,37.700001,37.700001,68854800
2013-08-09,38.540001,39.189999,38.05,38.43,38.43,41301000
2013-08-12,38.5,38.740002,39.19,38.009998,38.009998,43532300
2013-08-13,38.220001,38.5,38.55,38.099998,38.099998,31161000
2013-08-14,37.02,38.32,38.87,36.77,36.77,65379200
2013-08-15,36.650002,37.549999,38.54,36.619999,36.619999,48423900
2013-08-16,36.560001,37.07,38.5,36.02,36.02,56521100
2013-08-19,37.080002,37.490002,38.22,36.900002,36.900002,45840800
2013-08-20,37.810001,38.279999,37.02,37.139999,37.139999,57609600
2013-08-21,38.41,38.580002,36.65,37.689999,37.689999,57995200
2013-08-22,38.32,38.849998,36.56,38.150002,38.150002,46116900
2013-08-23,38.549999,38.75,37.08,38.34,38.34,21931200
2013-08-26,40.549999,40.630001,37.81,38.93,38.93,86442300
2013-08-27,41.34,41.939999,38.41,40.619999,40.619999,94162400
2013-08-28,39.639999,41.200001,38.32,39.419998,39.419998,72695100
2013-08-29,40.549999,40.849998,38.55,39.880001,39.880001,57918200
2013-08-30,41.279999,41.779999,40.55,40.799999,40.799999,58303400
2013-09-03,41.290001,42.259998,41.34,41.060001,41.060001,67735100
2013-09-04,41.869999,42.16,39.64,41.509998,41.509998,48774900
2013-09-05,41.779999,42.169998,40.55,41.439999,41.439999,42581900
2013-09-06,42.66,42.77,41.28,41.77,41.77,50035400
2013-09-09,43.950001,44.610001,41.29,42.400002,42.400002,117535700
2013-09-10,44.040001,44.790001,41.87,43.700001,43.700001,75794700
2013-09-11,43.599998,44.259998,41.78,43.23,43.23,54540300
2013-09-12,45.040001,45.09,42.66,43.110001,43.110001,72328300
2013-09-13,44.75,45.619999,43.95,44.650002,44.650002,68072300
2013-09-16,44.310001,45.080002,44.04,43.93,43.93,52765300
2013-09-17,42.509998,44.939999,43.6,42.43,42.43,70424200
2013-09-18,45.07,45.439999,45.04,42.43,42.43,91934600
2013-09-19,45.23,45.470001,44.75,44.400002,44.400002,79317000
2013-09-20,45.98,46.049999,44.31,45.23,45.23,63972400
2013-09-23,47.490002,47.599998,42.51,45.740002,45.740002,115508400
2013-09-24,47.189999,47.549999,45.07,46.290001,46.290001,75177000
2013-09-25,48.450001,49.66,45.23,48.16,48.16,136716100
2013-09-26,49.459999,49.540001,45.98,48.459999,48.459999,87879700
2013-09-27,50.389999,50.599998,47.49,49.5,49.5,98220100
2013-09-30,51.240002,51.279999,47.19,49.860001,49.860001,81410500
2013-10-01,50.23,51.599998,48.45,49.799999,49.799999,100095000
2013-10-02,50.419998,51.029999,49.46,49.450001,49.450001,98114000
2013-10-03,50.279999,51.099998,50.39,49.950001,49.950001,62834000
2013-10-04,49.18,50.720001,51.24,49.060001,49.060001,82045000
2013-10-07,51.040001,51.16,50.23,49.57,49.57,74447000
2013-10-08,50.52,51.290001,50.42,50.400002,50.400002,57204000
2013-10-09,47.139999,50.599998,50.28,47.080002,47.080002,136081000
2013-10-10,46.77,47.84,49.18,45.259998,45.259998,147297000
2013-10-11,49.049999,49.68,51.04,47.830002,47.830002,99774000
2013-10-14,49.110001,49.869999,50.52,48.790001,48.790001,58428000
2013-10-15,49.509998,49.630001,47.14,47.91,47.91,68781000
2013-10-16,49.5,51.0,46.77,49.18,49.18,81167000
2013-10-17,51.139999,51.240002,49.05,49.900002,49.900002,64678000
2013-10-18,52.209999,52.220001,49.11,50.950001,50.950001,71522000
2013-10-21,54.220001,54.830002,49.51,53.599998,53.599998,88260000
2013-10-22,53.849998,54.810001,49.5,53.509998,53.509998,58235000
2013-10-23,52.68,54.759998,51.14,52.200001,52.200001,83204000
2013-10-24,51.900002,52.25,52.21,51.130001,51.130001,57207000
2013-10-25,52.450001,52.84,54.22,51.59,51.59,46775000
2013-10-28,51.950001,53.240002,53.85,51.880001,51.880001,45085000
2013-10-29,50.23,51.700001,52.68,49.610001,49.610001,73472000
2013-10-30,49.400002,50.790001,51.9,49.25,49.25,102143000
2013-10-31,49.009998,50.209999,52.45,48.75,48.75,127073000
2013-11-01,50.209999,52.0,51.95,46.5,46.5,248809000
2013-11-04,49.75,52.09,50.23,49.720001,49.720001,95033000
2013-11-05,48.220001,49.75,49.4,48.02,48.02,80371000
2013-11-06,50.110001,50.18,49.01,47.509998,47.509998,76835000
2013-11-07,49.119999,50.450001,50.21,48.709999,48.709999,67889000
2013-11-08,47.560001,49.869999,49.75,47.299999,47.299999,97128000
2013-11-11,47.529999,48.650002,48.22,47.25,47.25,70731000
2013-11-12,46.200001,47.529999,50.11,45.73,45.73,80910000
2013-11-13,46.610001,47.369999,49.12,45.830002,45.830002,68196000
2013-11-14,48.709999,48.740002,47.56,46.060001,46.060001,79245000
2013-11-15,48.990002,49.57,47.53,48.029999,48.029999,75117000
2013-11-18,49.009998,49.48,46.2,48.709999,48.709999,42453000
2013-11-19,45.830002,48.84,46.61,45.799999,45.799999,85910000
2013-11-20,46.360001,47.0,48.71,45.720001,45.720001,75602000
2013-11-21,46.43,47.549999,48.99,46.310001,46.310001,53933000
2013-11-22,46.700001,47.459999,49.01,46.689999,46.689999,34886000
2013-11-25,46.23,47.27,45.83,45.959999,45.959999,40545000
2013-11-26,44.82,46.650002,46.36,44.040001,44.040001,82565000
2013-11-27,45.889999,46.169998,46.43,43.549999,43.549999,82016000
2013-11-29,46.490002,46.669998,46.7,45.529999,45.529999,44993000
2013-12-02,47.009998,47.209999,46.23,46.5,46.5,22953900
2013-12-03,47.060001,47.540001,44.82,46.259998,46.259998,50774000
2013-12-04,46.73,47.200001,45.89,46.290001,46.290001,32086000
2013-12-05,48.619999,48.77,46.49,46.259998,46.259998,60890000
2013-12-06,48.34,48.700001,47.01,47.869999,47.869999,43855000
2013-12-09,47.939999,49.389999,47.06,47.709999,47.709999,42938000
2013-12-10,48.84,48.970001,46.73,47.740002,47.740002,36056000
2013-12-11,50.25,50.77,48.62,48.540001,48.540001,68479000
